Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,Cone_Type(L=1;M=2;S=3)
62,42,32.14558273,13.77611668,16.44926792,56.04540779,9.485495526,13.15240787,1
62,155,30.27355278,8.186478156,10.34753434,53.35908098,8.727963586,10.15165325,2
62,250,30.73505946,7.547766516,8.791627371,52.62435443,12.85517529,7.455963604,2
64,109,33.21651369,6.973625597,9.993324323,54.87303059,7.968258581,12.3683816,3
64,136,30.6584231,6.468062615,8.390402679,53.92569496,10.05478525,12.66334087,2
64,146,30.73272206,8.017907112,7.95563447,55.88339655,13.70453645,9.464016573,2
64,178,31.9853431,10.26590418,9.296842278,61.09623435,6.760256797,8.148288798,1
64,195,31.38741059,6.109928313,8.081721444,51.36191087,6.929376208,8.981984565,1
65,78,30.92089895,7.20899337,19.45488061,57.59807709,12.63926626,12.18776744,1
65,128,31.39314492,9.27955428,12.29023083,54.15549167,8.747710099,11.73544288,1
66,23,30.75975449,17.817429,9.285414248,55.83101906,14.35208682,11.45887771,1
66,205,30.28520541,7.528159989,10.43282441,55.12671962,18.08632465,17.40832216,2
66,216,31.81998719,8.134563328,10.98556581,53.70678528,13.4421295,19.26177832,2
66,257,33.85237339,12.64335045,9.389020916,56.72501716,11.0000737,12.5014411,3
67,68,31.38674291,11.10523253,10.64114157,55.96047247,12.25208873,18.69056963,1
67,154,30.83182252,5.915196171,9.512559727,55.55190438,8.472144422,7.896786824,2
67,168,29.30927549,7.002800625,8.145445595,52.90866774,7.438243665,6.96988175,1
68,39,35.4629802,7.610256892,8.298633725,58.6022954,7.48257173,7.766620348,3
68,99,30.54382149,5.839170339,8.664463477,55.29872243,7.102518644,9.841903551,2
68,117,30.15521371,8.675432219,10.69778062,54.14042863,8.216684835,9.221999301,1
69,4,32.71236156,7.257090099,10.87536166,NaN,NaN,NaN,2
69,83,30.44015719,6.033465891,11.25842941,55.42875934,5.867298172,8.210458688,1
69,189,29.95700048,8.732179764,8.974663211,49.70737475,7.281742865,7.804262459,2
70,73,31.24050688,8.342292378,13.46422184,57.12319318,5.803117935,7.660924956,1
70,178,32.72554139,8.189577259,9.919640243,55.56200898,8.774397831,8.952628081,1
71,91,30.0815662,7.48453721,10.59071333,54.91619728,6.57033933,7.362603997,2
71,127,30.76079733,6.856491526,12.01436053,54.88124573,8.844486852,9.725414699,1
71,136,30.23237104,7.806336945,11.35566192,54.95705891,8.062333354,9.929778891,1
71,144,30.8148107,6.871669517,10.23524317,59.54213678,8.155523586,8.095338957,1
72,22,30.53054546,6.570824546,7.882403574,54.52572529,7.866372829,12.57143814,1
72,107,32.04466217,6.837085339,9.982886158,56.08883878,8.69775365,9.790827018,2
72,235,30.76641393,14.38404743,16.0704617,57.52630022,13.81934548,13.60574414,2
73,30,32.44645447,7.757569453,9.61432056,57.46688694,10.10546007,9.024148119,1
73,44,33.52354776,7.817993466,9.909481749,57.71031888,7.575518269,9.368236017,2
73,63,31.85704059,12.15920936,11.21049381,58.82144963,8.925762407,9.552393567,1
73,161,30.68389008,5.720931118,8.100285816,52.56371715,7.138302447,9.890985676,1
74,114,32.12781461,6.409643738,10.72031697,58.22185676,6.882549608,9.380194063,1
