Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,"Cone_Type(L=1;M=2;S=3; Undertermined=4, can ignore)"
48,202,33.92999699,14.90578133,10.85588043,61.67458742,8.377896154,7.941839873,1
49,18,33.91416264,7.768799261,10.39304719,57.10253411,8.839807898,15.54074775,3
49,183,31.13523367,19.48441095,12.30886064,56.27092961,11.01496543,9.510733042,1
50,9,29.93985228,7.798607876,8.768669203,56.99040676,9.393801031,10.59116596,1
50,239,34.38351104,9.151927645,8.601691982,62.25280877,11.47411755,8.952160902,1
51,52,32.11283569,8.398079479,9.730805465,61.13764992,15.45058654,9.738740424,1
51,116,30.82435143,6.696840853,8.710727481,57.60924894,9.510705383,8.069340186,1
51,249,33.52636314,11.05893775,10.0802384,61.56223918,11.79905415,12.60047659,1
51,260,31.66742829,7.968917995,10.41644537,57.0433679,9.938990249,11.81881747,1
52,35,31.19735212,16.97022615,12.72658266,59.29325359,15.0215205,14.44736608,1
52,153,29.09277658,10.01481522,10.8423219,57.98229795,9.545672891,9.628464539,1
52,222,33.18657149,7.931964706,7.707826219,61.82022182,12.78854793,18.60537608,1
53,94,30.87028736,7.167582869,10.99198689,59.38673216,10.23788662,15.20040179,1
53,273,34.10480558,8.946266446,10.36151008,59.48861786,9.679337792,8.98834844,1
54,105,32.20712851,10.45694133,14.01359705,59.69671825,9.256120683,10.00907486,1
54,231,33.05865557,6.526918025,7.848118832,60.36729826,11.33589503,10.36648328,1
55,13,29.49135694,12.68771029,15.68330727,58.54534064,11.83428246,12.6133021,1
55,84,31.42136292,9.191319438,11.21304953,57.45054512,8.210990892,8.74911275,1
55,187,32.96408011,7.603710114,7.806717997,60.26959833,8.132360916,8.488797646,1
55,289,32.70427217,8.589028523,8.840937728,57.01233261,7.607719435,10.14624585,1
56,144,31.93304979,6.650140575,10.28772314,60.00850701,7.55437253,10.80649327,1
57,39,31.07387063,17.30921109,15.1904044,58.29585057,13.57011731,9.350525436,1
57,132,31.29579762,13.07073602,18.27719373,57.97559311,12.4454554,10.63909596,1
57,263,32.46614908,10.50574518,10.57358234,57.72770932,12.98658411,11.1263884,1
58,280,32.85963659,7.806274969,8.234729012,59.73285367,9.11793269,8.790952696,1
59,92,31.18099549,7.465858969,16.73021732,59.68002235,11.76104969,13.83062939,1
59,156,30.4650068,7.777225474,15.79999358,58.92004744,9.401528773,10.13844508,1
